"File","PageFamily","ProposedOpenGraphTitle","ProposedOpenGraphDescription","ProposedOpenGraphType","ProposedOpenGraphUrlScheme","ProposedOpenGraphUrlHost","ProposedOpenGraphUrlPath","ProposedTwitterCard","ProposedTwitterTitle","ProposedTwitterDescription","ImageStrategy","IncludeInFirstSocialMetadataEdit","Notes"
"index.html","homepage-market-wide","Crain Bros Inc | Restoration, Repairs & Construction | Northeast Arkansas","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","website","https","services.crainbrosinc.com","/","summary_large_image","Crain Bros Inc | Restoration, Repairs & Construction | Northeast Arkansas","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\building-consultant.html","service-category","Building Consultant | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/building-consultant.html","summary_large_image","Building Consultant | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building consultant services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\building-inspector.html","service-category","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/building-inspector.html","summary_large_image","Building Inspection Services | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building inspection services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\building-restoration.html","service-category","Building Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/building-restoration.html","summary_large_image","Building Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides building restoration services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\construction.html","service-category","Construction | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/construction.html","summary_large_image","Construction | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides construction services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\fire-damage.html","service-category","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/fire-damage.html","summary_large_image","Fire Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides fire damage restoration services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\plumbing.html","service-category","Plumbing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/plumbing.html","summary_large_image","Plumbing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides plumbing services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\remodeling.html","service-category","Remodeling | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/remodeling.html","summary_large_image","Remodeling | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides remodeling services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\water-damage.html","service-category","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/water-damage.html","summary_large_image","Water Damage Restoration | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides water damage restoration services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
"pages\waterproofing.html","service-category","Waterproofing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","article","https","services.crainbrosinc.com","/pages/waterproofing.html","summary_large_image","Waterproofing | Crain Bros Inc | Northeast Arkansas","Crain Bros Inc provides waterproofing services for properties across Northeast Arkansas.","Decision required before HTML edit: use approved brand/social image or page-family image. No og:image will be applied until image strategy is approved.","Yes","Ads pages excluded from first social metadata edit because ads canonical/indexing strategy remains decision-required."
