"File","PageFamily","Title","Description","H1","CanonicalScheme","CanonicalHost","CanonicalPath","CurrentCanonicalHrefPresent","JsonLdEligibleForFirstStructuredDataPhase","ProposedSchemaBlocks","JsonLdIntent","JsonLdDataSourceRule","ExplicitExclusions","Notes"
"areas\bay-ar-72411.html","service-area","Restoration &amp; Construction Services in Bay, AR 72411 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bay, AR 72411 and nearby Northeast Arkansas communities.","Crain Bros Inc in Bay, AR 72411","https","services.crainbrosinc.com","/areas/bay-ar-72411.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\blytheville-ar-72316.html","service-area","Restoration &amp; Construction Services in Blytheville, AR 72316 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Blytheville, AR 72316 and nearby Northeast Arkansas communities.","Crain Bros Inc in Blytheville, AR 72316","https","services.crainbrosinc.com","/areas/blytheville-ar-72316.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\bono-ar-72416.html","service-area","Restoration &amp; Construction Services in Bono, AR 72416 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Bono, AR 72416 and nearby Northeast Arkansas communities.","Crain Bros Inc in Bono, AR 72416","https","services.crainbrosinc.com","/areas/bono-ar-72416.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\brookland-ar-72417.html","service-area","Restoration &amp; Construction Services in Brookland, AR 72417 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Brookland, AR 72417 and nearby Northeast Arkansas communities.","Crain Bros Inc in Brookland, AR 72417","https","services.crainbrosinc.com","/areas/brookland-ar-72417.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\caraway-ar-72419.html","service-area","Restoration &amp; Construction Services in Caraway, AR 72419 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Caraway, AR 72419 and nearby Northeast Arkansas communities.","Crain Bros Inc in Caraway, AR 72419","https","services.crainbrosinc.com","/areas/caraway-ar-72419.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\gosnell-ar-72315.html","service-area","Restoration &amp; Construction Services in Gosnell, AR 72315 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72315 and nearby Northeast Arkansas communities.","Crain Bros Inc in Gosnell, AR 72315","https","services.crainbrosinc.com","/areas/gosnell-ar-72315.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\gosnell-ar-72319.html","service-area","Restoration &amp; Construction Services in Gosnell, AR 72319 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Gosnell, AR 72319 and nearby Northeast Arkansas communities.","Crain Bros Inc in Gosnell, AR 72319","https","services.crainbrosinc.com","/areas/gosnell-ar-72319.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\harrisburg-ar-72432.html","service-area","Restoration &amp; Construction Services in Harrisburg, AR 72432 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Harrisburg, AR 72432 and nearby Northeast Arkansas communities.","Crain Bros Inc in Harrisburg, AR 72432","https","services.crainbrosinc.com","/areas/harrisburg-ar-72432.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\jonesboro-ar-72401.html","service-area","Restoration &amp; Construction Services in Jonesboro, AR 72401 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72401 and nearby Northeast Arkansas communities.","Crain Bros Inc in Jonesboro, AR 72401","https","services.crainbrosinc.com","/areas/jonesboro-ar-72401.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
"areas\jonesboro-ar-72402.html","service-area","Restoration &amp; Construction Services in Jonesboro, AR 72402 | Crain Bros Inc","Crain Bros Inc provides restoration, repair, construction, inspection, consulting, plumbing, waterproofing, and remodeling services in Jonesboro, AR 72402 and nearby Northeast Arkansas communities.","Crain Bros Inc in Jonesboro, AR 72402","https","services.crainbrosinc.com","/areas/jonesboro-ar-72402.html","True","Yes","WebPage candidate; area-served supporting page candidate.","Represent the page as a location/service-area credibility page without claiming a separate physical business location.","Use only current page metadata, visible page content, verified footer business facts, and approved page-family strategy.","No FAQPage without visible FAQ content; no aggregateRating; no reviews; no prices; no separate location claims; no ads pages in first phase.","Avoid LocalBusiness per city/ZIP unless actual business-location data supports separate locations."
